,название,полное название,издательство,год основания,рецензируемый,выпусков в год,импакт-фактор jcr,статей в выпуске,импакт-фактор ринц 2018,сокращение,страна,город,регион,issn печатной версии,подписной индекс,тираж,вариант представления,www-адрес,isi,всего статей,в настоящее время,scopus,всего выпусков,доступный архив,ринц,полных текстов,реферативный,перечень вак,цитирований,мультидисциплинарный,rsci,esci,doaj,crossref,ядро ринц,web of science,префикс doi,базы данных
268,Accident and Emergency Nursing,accident and emergency nursing,churchill livingstone,-,-,-,нет,-,нет,-,великобритания,-,-,0965-2302,-,-,-,http://www.sciencedirect.com/science/journal/09652302,нет,0,не выходит,нет,0, - ,нет,0,нет,-,167,нет,нет,-,нет,-,-,-,-,-
269,Accion Psicologica,accion psicologica,-,-,-,-,нет,-,нет,-,-,-,-,1578-908x,-,-,-,http://scielo.isciii.es/scielo.php?script=sci_serial&amp;pid=1578-908x&amp;lng,да,0,выходит,нет,0, - ,нет,0,нет,-,35,нет,нет,-,да,-,-,-,-,-
270,ACCIONES E INVESTIGACIONES SOCIALES,-,-,-,-,-,-,-,-,-,spain,-,-,1132-192x,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,да,нет,да,да,-,-
271,Accountability in research,accountability in research,taylor &amp; francis,-,-,-,есть,-,нет,-,великобритания,-,-,0898-9621,-,-,-,https://www.tandfonline.com/toc/gacr20/current,да,20,выходит,да,18,1993 - 2021,нет,0,нет,-,455,нет,нет,-,нет,-,-,-,-,-
272,Accountancy,accountancy,	institute of chartered accountants in england and wales,-,-,-,нет,-,нет,ace,сша,-,-,0001-4664,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,231,нет,нет,-,нет,-,-,-,-,-
273,Accountancy Ireland,accountancy ireland,institute of chartered accountants in ireland,-,-,-,нет,-,нет,acci,сша,-,-,0001-4699,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,33,нет,нет,-,нет,-,-,-,-,-
274,Accounting,-,-,-,-,-,-,-,-,-,canada,-,-,2369-7393,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,да,нет,нет,нет,-,-
275,Accounting &amp; Business Research,accounting &amp; business research,taylor &amp; francis,-,-,-,есть,-,нет,acb,великобритания,-,-,0001-4788,-,-,-,-,да,103,выходит,да,27,2000 - 2021,нет,0,нет,-,1925,нет,нет,-,нет,-,-,-,-,-
276,Accounting &amp; Finance,accounting &amp; finance,"john wiley &amp; sons, incorporated",-,-,-,нет,-,нет,afi,сша,-,-,0110-5159,-,-,-,-,нет,192,выходит,нет,25,1993 - 2003,нет,0,нет,-,34,нет,нет,-,нет,-,-,-,-,-
277,Accounting and Finance,accounting and finance,"john wiley &amp; sons, incorporated",-,-,-,есть,-,нет,acfi,австралия,-,-,0810-5391,-,-,-,-,да,94,выходит,да,29,2000 - 2021,нет,0,нет,-,734,нет,нет,-,нет,-,-,-,-,-
278,Accounting and Financial Control,accounting and financial control,"limited liability company ""consulting publishing company ""business perspectives""",2017,да,1,нет,5,нет,accounting and financial control,украина,сумы,-,2543-5485,-,-,-,https://businessperspectives.org/journals/j-accounting-and-financial-c,нет,11,выходит,нет,2,2017 - 2017,нет,11,нет,-,18,нет,нет,-,да,-,-,-,-,-
279,Accounting and the Public Interest,accounting and the public interest,american accounting association,-,-,-,нет,-,нет,-,сша,-,-,1530-9320,-,-,-,-,нет,1,выходит,да,1, - ,нет,0,нет,-,23,нет,нет,-,нет,-,-,-,-,-
280,Accounting Education,accounting education,-,-,-,-,нет,-,нет,account. educ.,великобритания,-,-,0963-9284,-,-,-,-,да,14,выходит,да,13,2003 - 2021,нет,0,нет,-,636,нет,нет,-,нет,-,-,-,-,-
281,Accounting Forum,accounting forum,"elsevier science publishing company, inc.",-,-,-,есть,-,нет,7ow,великобритания,-,-,0155-9982,-,-,-,http://www.sciencedirect.com/science/journal/01559982,да,94,выходит,да,26,1999 - 2021,нет,0,нет,-,955,нет,нет,-,нет,-,-,-,-,-
282,Accounting Historians Journal,accounting historians journal,-,1974,-,-,нет,-,нет,-,сша,-,-,0148-4184,-,-,-,http://aaajournals.org/loi/aahj?code=aaan-site,да,6,выходит,да,4,2015 - 2019,нет,0,нет,-,373,нет,нет,-,нет,-,-,-,-,-
283,Accounting Historians Notebook,accounting historians notebook,-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,http://www.olemiss.edu/depts/general_library/dac/files/ahn.html,нет,1,выходит,нет,1,2011 - 2011,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
284,Accounting History,accounting history,sage publications,1996,да,4,нет,-,нет,-,великобритания,-,-,1032-3732,-,-,-,http://www.sagepub.co.uk/journalsproddesc.nav?prodid=journal201764,да,354,выходит,да,40,1996 - 2021,нет,0,нет,-,453,нет,нет,-,нет,-,-,-,-,-
285,Accounting History Review,accounting history review,routledge,-,-,-,нет,-,нет,-,великобритания,-,-,2155-2851,-,-,-,-,да,3,выходит,да,3,2014 - 2019,нет,0,нет,-,70,нет,нет,-,нет,-,-,-,-,-
286,Accounting Horizons,accounting horizons,american accounting association,-,-,-,есть,-,нет,ahz,сша,-,-,0888-7993,-,-,-,-,да,519,выходит,да,61,1990 - 2021,нет,481,нет,-,1588,нет,нет,-,нет,-,-,-,-,-
287,Accounting in Europe,accounting in europe,routledge,-,-,-,нет,-,нет,-,великобритания,-,-,1744-9480,-,-,-,-,да,17,выходит,да,12,2006 - 2021,нет,0,нет,-,420,нет,нет,-,нет,-,-,-,-,-
288,Accounting Perspectives,accounting perspectives,canadian academic accounting association/association canadienne des professeursde comptabilite,-,-,-,нет,-,нет,-,канада,-,-,1911-382x,-,-,-,-,да,2,выходит,да,2,2020 - 2020,нет,0,нет,-,65,нет,нет,-,нет,-,-,-,-,-
289,Accounting Research Journal,accounting research journal,emerald group publishing ltd.,-,-,-,нет,-,нет,-,великобритания,-,-,1030-9616,-,-,-,-,да,10,выходит,да,7,2019 - 2021,нет,0,нет,-,194,нет,нет,-,нет,-,-,-,-,-
290,Accounting Review,accounting review,american accounting association,-,-,-,есть,-,нет,acr,сша,-,-,0001-4826,-,-,-,-,да,176,выходит,да,25,2000 - 2021,нет,167,нет,-,6439,нет,нет,-,нет,-,-,-,-,-
291,Accounting Technology,accounting technology,accountants media group,-,-,-,нет,-,нет,cia,сша,-,-,1068-6452,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
292,"Accounting, Auditing &amp; Accountability Journal","accounting, auditing &amp; accountability journal",emerald group publishing limited,-,-,-,есть,-,нет,-,великобритания,-,-,0951-3574,-,-,-,-,да,429,выходит,да,97,1988 - 2021,нет,405,нет,-,3021,нет,нет,-,нет,-,-,-,-,-
293,"Accounting, Business and Financial History","accounting, business and financial history",routledge,-,-,-,нет,-,нет,-,великобритания,-,-,0958-5206,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,246,нет,нет,-,нет,-,-,-,-,-
294,"Accounting, Economics and Law: A Convivium","accounting, economics and law: a convivium",-,-,-,-,нет,-,нет,-,германия,-,-,2194-6051,-,-,-,http://www.degruyter.com/view/j/ael,да,3,выходит,да,3,2020 - 2021,нет,0,нет,-,34,нет,нет,-,нет,-,-,-,-,-
295,"Accounting, Finance, Sustainability, Governance and Fraud",-,-,2017,-,-,-,-,-,-,singapore,-,-,2509-7873,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
296,"Accounting, Management and Information Technologies","accounting, management and information technologies","elsevier science publishing company, inc.",-,-,-,нет,-,нет,-,великобритания,-,-,0959-8022,-,-,-,http://www.sciencedirect.com/science/journal/09598022,нет,0,не выходит,нет,0, - ,нет,0,нет,-,122,нет,нет,-,нет,-,-,-,-,-
297,"Accounting, Organizations and Society","accounting, organizations and society","elsevier science publishing company, inc.",-,-,-,есть,-,нет,-,великобритания,-,-,0361-3682,-,-,-,http://www.sciencedirect.com/science/journal/03613682,да,84,выходит,да,25,2000 - 2015,нет,0,нет,-,5509,нет,нет,-,нет,-,-,-,-,-
298,Accounts of Chemical Research,accounts of chemical research,american chemical society,-,-,-,есть,-,нет,-,сша,-,-,0001-4842,-,-,-,-,да,1650,выходит,да,474,1970 - 2021,нет,0,нет,-,415478,нет,нет,-,нет,-,-,-,-,-
299,ACCOUNTS OF MATERIALS RESEARCH,-,-,-,-,-,-,-,-,-,usa,-,-,2643-6728,-,-,-,-,-,-,-,нет,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,нет,нет,да,да,-,-
300,"Accreditation and Quality Assurance: Journal for Quality, Comparability and Reliability in Chemical Measurement","accreditation and quality assurance: journal for quality, comparability and reliability in chemical measurement",springer-verlag gmbh,-,-,-,есть,-,нет,00769,сша,-,-,0949-1775,-,-,-,-,да,1106,выходит,да,148,1996 - 2021,нет,990,нет,-,3382,нет,нет,-,нет,-,-,-,-,-
301,ACDI Anuario Colombiano de Derecho Internacional,acdi anuario colombiano de derecho internacional,"asociacion cavelier del derecho, universidad del rosario",-,-,-,нет,-,нет,-,колумбия,-,-,2027-1131,-,-,-,-,да,0,выходит,да,0, - ,нет,0,нет,-,1,нет,нет,-,да,-,-,-,-,-
302,Acesso Livre,acesso livre,-,-,-,-,нет,-,нет,-,бразилия,-,-,2319-0698,-,-,-,https://revistaacessolivre.wordpress.com/,да,0,выходит,нет,0, - ,нет,0,нет,-,15,нет,нет,-,да,-,-,-,-,-
303,ACG Case Reports Journal,-,-,-,-,-,-,-,-,-,usa,-,-,-,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,да,нет,да,да,-,-
304,ACH - Models in Chemistry,ach - models in chemistry,-,-,-,-,нет,-,нет,-,венгрия,-,-,1217-8969,-,-,-,-,нет,45,не выходит,нет,14,1996 - 2000,нет,0,нет,-,2766,нет,нет,-,нет,-,-,-,-,-
305,Achievements in the Life Sciences,achievements in the life sciences,-,2009,-,1,нет,-,нет,-,россия,владивосток,приморский край,-,-,-,-,https://www.sciencedirect.com/journal/achievements-in-the-life-science,нет,4,выходит,нет,2,2014 - 2014,нет,0,нет,-,43,нет,нет,-,нет,-,-,-,-,-
306,ACI Materials Journal,aci materials journal,american concrete institute,-,-,-,есть,-,нет,-,сша,-,-,0889-325x,-,-,-,-,да,94,выходит,да,48,1999 - 2021,нет,0,нет,-,6349,нет,нет,-,нет,-,-,-,-,-
307,ACI Structural Journal,aci structural journal,american concrete institute,-,-,-,есть,-,нет,-,сша,-,-,0889-3241,-,-,-,-,да,54,выходит,да,23,2001 - 2021,нет,0,нет,-,3876,нет,нет,-,нет,-,-,-,-,-
308,ACIMED,acimed,-,-,-,-,нет,-,нет,-,куба,-,-,1024-9435,-,-,-,-,нет,5,выходит,нет,5,2008 - 2012,нет,0,нет,-,53,нет,нет,-,нет,-,-,-,-,-
309,ACM / SIGPLAN Notices: (Association for Computing Machinery / Special Interest Group on Programming Languages),acm / sigplan notices: (association for computing machinery / special interest group on programming languages),"special interest group on computer graphics, association for computing machinery",1965,-,12,нет,-,нет,-,сша,-,-,1523-2867,-,-,-,http://www.cs.appstate.edu/~sigplan,нет,48,выходит,нет,38,1991 - 2006,нет,0,нет,-,2690,нет,нет,-,нет,-,-,-,-,-
310,ACM Communications in Computer Algebra,acm communications in computer algebra,-,-,-,-,нет,-,нет,acm commun. comput. algebra,сша,-,-,1932-2232,-,-,-,-,да,28,выходит,да,17,2011 - 2020,нет,0,нет,-,158,нет,нет,-,нет,-,-,-,-,-
311,ACM Computing Surveys,acm computing surveys,"association for computing machinery, inc.",-,-,-,есть,-,нет,aci,сша,-,-,0360-0300,-,-,-,-,да,324,выходит,да,91,1982 - 2022,нет,20,нет,-,15330,нет,нет,-,нет,-,-,-,-,-
312,ACM Inroads,acm inroads,-,-,-,-,нет,-,нет,-,сша,-,-,2153-2184,-,-,-,-,нет,4,выходит,да,4,2012 - 2018,нет,0,нет,-,165,нет,нет,-,нет,-,-,-,-,-
313,"ACM International Conference on Computer Graphics, Virtual Reality and Visualisation in Africa","acm international conference on computer graphics, virtual reality and visualisation in africa",-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,65,нет,нет,-,нет,-,-,-,-,-
314,ACM Journal on Educational Resources in Computing,acm journal on educational resources in computing,"association for computing machinary, inc.",-,-,-,нет,-,нет,-,сша,-,-,1531-4278,-,-,-,-,нет,1,не выходит,нет,1,2001 - 2001,нет,0,нет,-,83,нет,нет,-,нет,-,-,-,-,-
315,ACM Journal on Emerging Technologies in Computing Systems,acm journal on emerging technologies in computing systems,"association for computing machinery, inc.",2005,-,4,есть,-,нет,jetc,сша,-,-,1550-4832,-,-,-,http://www.cse.psu.edu/~mdl/jetc/,да,56,выходит,да,38,2005 - 2021,нет,0,нет,-,563,нет,нет,-,нет,-,-,-,-,-
316,ACM Multimedia 2004 - proceedings of the 12th ACM International Conference on Multimedia,acm multimedia 2004 - proceedings of the 12th acm international conference on multimedia,-,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,59,нет,нет,-,нет,-,-,-,-,-
317,ACM SIGBED Review,-,-,-,-,-,-,-,-,-,usa,-,-,-,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,нет,нет,нет,да,нет,-,-
318,"ACM SIGDOC Annual International Conference on Computer Documentation, Proceedings","acm sigdoc annual international conference on computer documentation, proceedings","association for computing machinary, inc.",-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
319,ACM SIGKDD Explorations Newsletter,acm sigkdd explorations newsletter,-,-,-,-,нет,-,нет,-,сша,-,-,1931-0145,-,-,-,http://dl.acm.org/citation.cfm?id=j721&amp;picked=prox,нет,2,выходит,нет,2,2007 - 2010,нет,0,нет,-,2102,нет,нет,-,нет,-,-,-,-,-
320,ACM SIGMOBILE Mobile Computing and Communications Review,acm sigmobile mobile computing and communications review,-,-,-,-,нет,-,нет,-,сша,-,-,1559-1662,-,-,-,http://dl.acm.org/citation.cfm?id=j548&amp;picked=prox,да,1,выходит,нет,1,2013 - 2013,нет,0,нет,-,733,нет,нет,-,нет,-,-,-,-,-
321,ACM SIGPLAN/SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,acm sigplan/sigsoft workshop on program analysis for software tools and engineering,"association for computing machinary, inc.",-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,2,нет,нет,-,нет,-,-,-,-,-
322,ACM SIGSAM Bulletin,acm sigsam bulletin,-,-,-,-,нет,-,нет,-,сша,-,-,0163-5824,-,-,-,http://dl.acm.org/citation.cfm?id=j707&amp;picked=prox,нет,3,выходит,нет,3,1981 - 2004,нет,0,нет,-,532,нет,нет,-,нет,-,-,-,-,-
323,"ACM Symposium on Virtual Reality Software and Technology, Proceedings, VRST","acm symposium on virtual reality software and technology, proceedings, vrst",acm special interest group on data communication,-,-,-,нет,-,нет,-,сша,-,-,-,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
324,ACM Transactions on Accessible Computing,acm transactions on accessible computing,"association for computing machinary, inc.",-,-,-,нет,-,нет,-,сша,-,-,1936-7228,-,-,-,-,да,8,выходит,да,7,2017 - 2021,нет,0,нет,-,64,нет,нет,-,нет,-,-,-,-,-
325,ACM Transactions on Algorithms,acm transactions on algorithms,"association for computing machinery, inc.",2004,-,4,есть,-,нет,-,сша,-,-,1549-6325,-,-,-,http://www.acm.org,да,88,выходит,да,47,2005 - 2021,нет,0,нет,-,1502,нет,нет,-,нет,-,-,-,-,-
326,ACM Transactions on Applied Perception,acm transactions on applied perception,"association for computing machinery, inc.",2004,-,4,есть,-,нет,tap,сша,-,-,1544-3558,-,-,-,http://www.acm.org/pubs/tap.html,да,29,выходит,да,26,2005 - 2021,нет,0,нет,-,871,нет,нет,-,нет,-,-,-,-,-
327,ACM Transactions on Architecture and Code Optimization,acm transactions on architecture and code optimization,"association for computing machinery, inc.",2004,-,4,есть,-,нет,-,сша,-,-,1544-3566,-,-,-,http://www.acm.org,да,39,выходит,да,26,2006 - 2021,нет,0,нет,-,465,нет,нет,-,нет,-,-,-,-,-
328,ACM Transactions on Asian and Low-Resource Language Information Processing,acm transactions on asian and low-resource language information processing,association for computing machinery,-,-,-,есть,-,нет,acm trans. asian low res. lang. inf. process.,сша,-,-,2375-4699,-,-,-,https://dl.acm.org/citation.cfm?id=j1521,да,35,выходит,да,19,2015 - 2021,нет,0,нет,-,114,нет,нет,-,нет,-,-,-,-,-
329,ACM Transactions on Asian Language Information Processing,acm transactions on asian language information processing,"association for computing machinary, inc.",-,-,-,нет,-,нет,-,сша,-,-,1530-0226,-,-,-,https://dl.acm.org/citation.cfm?id=j820,нет,0,не выходит,нет,0, - ,нет,0,нет,-,3,нет,нет,-,нет,-,-,-,-,-
330,ACM Transactions on Autonomous Adaptive System,acm transactions on autonomous adaptive system,"association for computing machinery, inc.",2006,-,4,есть,-,нет,-,сша,-,-,1556-4665,-,-,-,https://dl.acm.org/journal/taas,да,16,выходит,да,13,2008 - 2019,нет,0,нет,-,399,нет,нет,-,нет,-,-,-,-,-
331,ACM Transactions on Computation Theory,acm transactions on computation theory,-,-,-,-,нет,-,нет,-,сша,-,-,1942-3454,-,-,-,-,да,64,выходит,да,33,2009 - 2021,нет,0,нет,-,353,нет,нет,-,нет,-,-,-,-,-
332,ACM Transactions on Computational Logic,acm transactions on computational logic,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,1529-3785,-,-,-,-,да,80,выходит,да,45,2001 - 2021,нет,0,нет,-,1361,нет,нет,-,нет,-,-,-,-,-
333,ACM Transactions on Computer Systems,acm transactions on computer systems,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,0734-2071,-,-,-,-,да,19,выходит,да,12,1998 - 2021,нет,0,нет,-,1726,нет,нет,-,нет,-,-,-,-,-
334,ACM Transactions on Computer-Human Interaction,acm transactions on computer-human interaction,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,1073-0516,-,-,-,-,да,15,выходит,да,13,1994 - 2021,нет,0,нет,-,792,нет,нет,-,нет,-,-,-,-,-
335,ACM Transactions on Computing Education,acm transactions on computing education,-,-,-,-,есть,-,нет,-,сша,-,-,-,-,-,-,-,да,7,выходит,да,7,2014 - 2021,нет,0,нет,-,264,нет,нет,-,нет,-,-,-,-,-
336,ACM Transactions on Computinig Education,acm transactions on computinig education,association for computing machinery,-,-,-,нет,-,нет,acm j. trans. comput. educ.,сша,-,-,-,-,-,-,-,нет,1,выходит,нет,1,2014 - 2014,нет,0,нет,-,1,нет,нет,-,нет,-,-,-,-,-
337,ACM Transactions on Cyber-Physical Systems,-,-,-,-,-,-,-,-,-,usa,-,-,2378-962x,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,нет,нет,да,да,-,-
338,ACM Transactions on Database Systems,acm transactions on database systems,association for computing machinery,-,-,-,есть,-,нет,fads,сша,-,-,0362-5915,-,-,-,-,да,27,выходит,да,20,1994 - 2020,нет,0,нет,-,4981,нет,нет,-,нет,-,-,-,-,-
339,ACM Transactions on Design Automation of Electronic Systems,acm transactions on design automation of electronic systems,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,1084-4309,-,-,-,-,да,53,выходит,да,29,2003 - 2021,нет,0,нет,-,685,нет,нет,-,нет,-,-,-,-,-
340,ACM Transactions on Economics and Computation,acm transactions on economics and computation,-,-,-,-,нет,-,нет,-,сша,-,-,2167-8375,-,-,-,http://teac.acm.org/,да,19,выходит,да,13,2013 - 2021,нет,0,нет,-,191,нет,нет,-,нет,-,-,-,-,-
341,ACM Transactions on Embedded Computing Systems,acm transactions on embedded computing systems,"association for computing machinery, inc.",-,-,4,есть,-,нет,-,сша,-,-,1539-9087,-,-,-,http://www.acm.org/tecs/index.html,да,46,выходит,да,34,2004 - 2021,нет,0,нет,-,865,нет,нет,-,нет,-,-,-,-,-
342,ACM Transactions on Graphics,acm transactions on graphics,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,0730-0301,-,-,-,-,да,195,выходит,да,55,1993 - 2021,нет,0,нет,-,17199,нет,нет,-,нет,-,-,-,-,-
343,ACM Transactions on Human-Robot Interaction,-,-,-,-,-,-,-,-,-,usa,-,-,-,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,нет,нет,да,да,-,-
344,ACM Transactions on Information and System Security,acm transactions on information and system security,"association for computing machinary, inc.",1998,-,-,нет,-,нет,tissec,сша,-,-,1094-9224,-,-,-,https://tops.acm.org/about.cfm,нет,28,не выходит,нет,11,2000 - 2015,нет,0,нет,-,739,нет,нет,-,нет,-,-,-,-,-
345,ACM Transactions on Information Systems,acm transactions on information systems,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,1046-8188,-,-,-,-,да,55,выходит,да,31,1996 - 2021,нет,0,нет,-,2631,нет,нет,-,нет,-,-,-,-,-
346,ACM Transactions on Intelligent Systems and Technology,acm transactions on intelligent systems and technology,-,-,-,-,есть,-,нет,acm trans. intell. syst. technolog.,сша,-,-,2157-6904,-,-,-,-,да,45,выходит,да,25,2010 - 2021,нет,0,нет,-,3385,нет,нет,-,нет,-,-,-,-,-
347,ACM Transactions on Internet Technology,acm transactions on internet technology,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,1533-5399,-,-,-,-,да,45,выходит,да,17,2006 - 2021,нет,1,нет,-,922,нет,нет,-,нет,-,-,-,-,-
348,ACM Transactions on Knowledge Discovery from Data,acm transactions on knowledge discovery from data,-,-,-,-,есть,-,нет,-,сша,-,-,1556-4681,-,-,-,-,да,49,выходит,да,34,2007 - 2022,нет,0,нет,-,1530,нет,нет,-,нет,-,-,-,-,-
349,ACM Transactions on Management Information Systems,acm transactions on management information systems,association for computing machinery (acm),-,-,-,нет,-,нет,-,сша,-,-,2158-656x,-,-,-,-,да,10,выходит,да,10,2014 - 2021,нет,0,нет,-,236,нет,нет,-,нет,-,-,-,-,-
350,ACM Transactions on Mathematical Software,acm transactions on mathematical software,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,0098-3500,-,-,-,http://toms.acm.org,да,97,выходит,да,66,1980 - 2021,нет,0,нет,-,15862,нет,нет,-,нет,-,-,-,-,-
351,ACM Transactions on Modeling and Computer Simulation,acm transactions on modeling and computer simulation,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,1049-3301,-,-,-,-,да,40,выходит,да,33,1992 - 2021,нет,0,нет,-,2268,нет,нет,-,нет,-,-,-,-,-
352,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,-,-,-,-,-,-,-,-,-,usa,-,-,2376-3639,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,нет,нет,да,да,-,-
353,ACM Transactions on Multimedia Computing Communications and Applications,acm transactions on multimedia computing communications and applications,"special interest group on computer graphics, association for computing machinery",2005,да,4,есть,-,нет,acm t multim comput,сша,-,-,1551-6857,-,-,-,http://www.acm.org,да,61,выходит,да,34,2006 - 2021,нет,0,нет,-,1086,нет,нет,-,нет,-,-,-,-,-
354,ACM Transactions on Office Information Systems,acm transactions on office information systems,"association for computing machinary, inc.",-,-,-,нет,-,нет,-,сша,-,-,0734-2047,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,103,нет,нет,-,нет,-,-,-,-,-
355,ACM Transactions on Parallel Computing,-,-,-,-,-,-,-,-,-,usa,-,-,2329-4949,-,-,-,-,-,-,-,да,-,-,учитываются отдельные статьи,-,-,нет,-,-,нет,да,нет,нет,да,да,-,-
356,ACM Transactions on Privacy and Security,acm transactions on privacy and security,association for computing machinery,1998,-,-,есть,-,нет,acm trans. priv. secur.,сша,-,-,2471-2566,-,-,-,https://tops.acm.org/,да,8,выходит,да,7,2017 - 2020,нет,0,нет,-,530,нет,нет,-,нет,-,-,-,-,-
357,ACM Transactions on Programming Languages and Systems,acm transactions on programming languages and systems,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,0164-0925,-,-,-,-,да,41,выходит,да,36,1980 - 2021,нет,0,нет,-,3274,нет,нет,-,нет,-,-,-,-,-
358,ACM Transactions on Reconfigurable Technology and Systems,acm transactions on reconfigurable technology and systems,-,-,-,-,есть,-,нет,acm trans. reconfigurable technol. syst.,сша,-,-,1936-7406,-,-,-,-,да,16,выходит,да,11,2009 - 2020,нет,0,нет,-,209,нет,нет,-,нет,-,-,-,-,-
359,ACM Transactions on Sensor Networks,acm transactions on sensor networks,"association for computing machinery, inc.",2005,-,4,есть,-,нет,-,сша,-,-,1550-4859,-,-,-,http://www.acm.org,да,26,выходит,да,19,2009 - 2021,нет,0,нет,-,1254,нет,нет,-,нет,-,-,-,-,-
360,ACM Transactions on Software Engineering and Methodology,acm transactions on software engineering and methodology,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,1049-331x,-,-,-,-,да,33,выходит,да,21,1992 - 2021,нет,0,нет,-,1036,нет,нет,-,нет,-,-,-,-,-
361,ACM Transactions on Spatial Algorithms and Systems,acm transactions on spatial algorithms and systems,association for computing machinery,2015,-,4,нет,-,нет,acm trans. spat. algorithms syst.,сша,-,-,2374-0353,-,-,-,https://tsas.acm.org/about.cfm,да,13,выходит,да,10,2015 - 2021,нет,0,нет,-,21,нет,нет,-,нет,-,-,-,-,-
362,ACM Transactions on Speech and Language Processing,acm transactions on speech and language processing,"association for computing machinary, inc.",-,-,-,нет,-,нет,-,сша,-,-,1550-4875,-,-,-,-,нет,1,выходит,нет,1,2013 - 2013,нет,0,нет,-,39,нет,нет,-,нет,-,-,-,-,-
363,ACM Transactions on Storage,acm transactions on storage,"association for computing machinary, inc.",-,-,-,есть,-,нет,-,сша,-,-,1553-3077,-,-,-,-,да,7,выходит,да,6,2005 - 2020,нет,0,нет,-,259,нет,нет,-,нет,-,-,-,-,-
364,ACM Transactions on the Web,acm transactions on the web,"association for computing machinery, inc.",2006,-,4,есть,-,нет,-,сша,-,-,1559-1131,-,-,-,http://www.acm.org,да,15,выходит,да,11,2011 - 2021,нет,0,нет,-,594,нет,нет,-,нет,-,-,-,-,-
365,ACM/SIGDA International Symposium on Field Programmable Gate Arrays - FPGA,acm/sigda international symposium on field programmable gate arrays - fpga,-,-,-,-,нет,-,нет,-,-,-,-,-,-,-,-,-,нет,0,выходит,нет,0, - ,нет,0,нет,-,10,нет,нет,-,нет,-,-,-,-,-
366,ACME,acme,okanagan university college,-,-,-,нет,-,нет,-,канада,-,-,1492-9732,-,-,-,-,нет,3,выходит,да,3,2017 - 2021,нет,0,нет,-,137,нет,нет,-,да,-,-,-,-,-
367,ACME: Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,acme: annali della facolta di studi umanistici dell universita degli studi di milano,-,-,-,-,нет,-,нет,-,-,-,-,0001-494x,-,-,-,http://riviste.unimi.it/index.php/acme/index,да,0,выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,да,-,-,-,-,-
368,ACN: Asian Chemical News,acn: asian chemical news,reed business publishing,-,-,-,нет,-,нет,aich,сша,-,-,1356-5389,-,-,-,-,нет,0,не выходит,нет,0, - ,нет,0,нет,-,0,нет,нет,-,нет,-,-,-,-,-
