name;adress
Военный Комиссариат Новобурасского Района; Область Саратовская, Рабочий поселок Новые бурасы
Военный Комиссариат Магдагачинского Района; Область Амурская, Рабочий поселок Магдагачи Улица М.горького 5
Военный Комиссариат Города Благовещенск И Благовещенского Района; Область Амурская, Город Благовещенск, Улица Островского 37
Военный Комиссариат Майкопского Района Республики Адыгея; Республика Майкопский, Рп Тульский Улица Октябрьская 20
Военный Комиссариат Баунтовского Района; Республика Бурятия, Село Багдарин Улица Ленина 89
Государственное Учреждение Военный Комиссариат Города Балаково, Балаковского И Духовницкого Районов Саратовской Области; Область Саратовская, Город Балаково,
Военный Комиссариат Базарно-карабулакского, Балтайского И Новобурасского Районов; Область Саратовская, Рабочий поселок Базарный карабулак Улица Некрасова 31
Военный Комиссариат Закаменского Района; Республика Бурятия, Город Закаменск, Улица Песчаная 5
Военный Комиссариат Железнодорожного Района Г.улан-удэ; Республика Бурятия, Город Улан-удэ, Улица Комсомольская 9
Военный Комиссариат Базарнокарабулакского Района; Область Саратовская, Рабочий поселок Базарный карабулак
Государственное Учреждение Военный Комиссариат Г. Балаково Саратовской Области; Область Саратовская, Город Балаково, Улица Коммунистическая 93
Военный Комиссариат Джидинского Района; Республика Бурятия, Село Петропавловка Улица Ленина
Военный Комиссариат Города Нарткала, Лескенского, Урванского И Черекского Районов Кабардино-балкарской Республики; Республика Урванский, Город Нарткала, Улица Ленина 179
Военный Комиссариат Города Баксан, Баксанского И Зольского Районов Кабардино-балкарской Республики; Республика Кабардино-балкарская, Город Баксан,
Военный Комиссариат Хоринского Района; Республика Бурятия, Село Хоринск Улица Им батора санжиева 23
Военный Комиссариат Иволгинского Района; Республика Бурятия, Село Иволгинск Улица Ленина 28
Военный Комиссариат Кяхтинского Района; Республика Бурятия, Город Кяхта, Улица Батурина 4
Военный Комиссариат Города Нальчика Кабардино-балкарской Республики; Республика Кабардино-балкарская, Город Нальчик,
Военный Комиссариат Усть-алданского Улуса Республики Саха (якутия); Республика Саха /якутия/, Село Борогонцы
Военный Комиссариат Города Ртищево И Ртищевского Района Саратовской Области; Область Саратовская, Город Ртищево, Улица Народная 1 А
Военный Комиссариат Города Маркс И Марксовского Района Саратовской Области; Область Саратовская, Город Маркс,
Военный Комиссариат Г. Северобайкальск И Северобайкальского Р-на; Республика Бурятия, Город Северобайкальск,
Военный Комиссариат Октябрьского Района Г.улан-удэ; Республика Бурятия, Город Улан-удэ, Улица Солнечная 7
Военный Комиссариат Города Якутск Республики Саха (якутия); Республика Саха /якутия/, Город Якутск, Улица Октябрьская 22
Саха Республиканский (якутский) Территориальный Фонд Общероссийского Общественно-государственного Фонда Социальных Гарантий Военнослужащим; Республика Саха /якутия/, Город Якутск, Улица Ойунского 6 2
Военный Комиссариат Озинского Района; Область Саратовская, Рабочий поселок Озинки Улица Советская 2
Военный Комиссариат Лысогорского Района; Область Саратовская, Рабочий поселок Лысые горы Улица Советская 8
Военный Комиссариат Верхоянского И Эвено-бытантайского Улусов Республики Саха (якутия); Республика Саха /якутия/, Поселок городского типа Батагай Улица Ленина 16
Военный Комиссариат Кобяйского Улуса Республики Саха (якутия); Республика Саха /якутия/, Поселок городского типа Сангар Улица Ленина 7
Военный Комиссариат Города Нерюнгри Республики Саха (якутия); Республика Саха /якутия/, Город Нерюнгри, Проспект Геологов 61
Военный Комиссариат Ардонского Района Рсо-алания; Республика Северная осетия - алания, Город Ардон, Улица Красноармейская 69
Военный Комиссариат Города Сланцы И Сланцевского Района Ленинградской Области; Область Ленинградская, Город Сланцы, Улица Ленина 13
Региональная Общественная Организация Ветеранов (пенсионеров) Вооруженных Сил; Республика Коми, Город Сыктывкар, Улица Катаева 7
Объединенный Военный Комиссариат Города Белебей Республики Башкортостан; Республика Башкортостан, Город Белебей, Улица Советская 44
Военный Комиссариат Города Нефтекамск Республики Башкортостан; Республика Башкортостан, Город Нефтекамск, Улица Социалистическая 39 1
Военный Комиссариат Зилаирского Района Республики Башкортостан; Республика Башкортостан, Село Зилаир Улица Ленина 53
"Общество С Ограниченной Ответственностью ""нур"""; Республика Башкортостан, Город Уфа, Улица Малая гражданская 35 А
Военный Комиссариат Чишминского Района Республики Башкортостан; Республика Башкортостан, Поселок городского типа Чишмы Улица Западная 8
Военный Комиссариат Города Белорецк, Белорецкого И Бурзянского Районов Республики Башкортостан; Республика Башкортостан, Город Белорецк, Улица Хмельницкого 3 А
Военный Комиссариат Бурзянского Района Республики Башкортостан; Республика Башкортостан, Село Старосубхангулово Улица Кызыл-таш 26
Объединенный Военный Комиссариат Города Баймак Республики Башкортостан; Республика Башкортостан, Город Баймак, Улица Юбилейная 32
Военный Комиссариат Караидельского Района Республики Башкортостан; Республика Башкортостан, Село Караидель Улица Мира 2 3
Военный Комиссариат Кугарчинского Района Республики Башкортостан; Республика Башкортостан, Село Мраково Улица З.биишевой 57
Военный Комиссариат Калтасинского Района Республики Башкортостан; Республика Башкортостан, Село Калтасы
Военный Комиссариат Радищевского Района; Область Ульяновская, Рабочий поселок Радищево Площадь 50 лет влксм 14
Обьединенный Военный Комиссариат Города Называевска Омской Области; Область Омская, Город Называевск, Улица Мичурина 10
Государственное Учреждение Военный Комиссариат Кваркенского Района Оренбургской Области; Область Оренбургская, Село Кваркено Улица Пролетарская 29
Военный Комиссариат Октябрьского Района; Область Пензенская, Город Пенза, Улица Ленина 10
Государственное Учреждение - Военный Комиссариат Г.усть-катава; Область Челябинская, Город Усть-катав, Улица Мкр-3 12
Военный Комиссариат Усть-таркского Района Новосибирской Области; Область Усть-таркский, Село Усть-тарка Улица Горького 17
Военный Комиссариат Балтачевского Района Республики Башкортостан; Республика Башкортостан, Село Старобалтачево Улица Комсомольская 47
Военный Комиссариат Демского Района Города Уфы Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Левитана 45
Военный Комиссариат Стерлибашевского Района Республики Башкортостан; Республика Башкортостан, Село Стерлибашево Улица Маркса 100
Военный Комиссариат Бакалинского И Шаранского Районов Республики Башкортостан; Республика Башкортостан, Село Бакалы Улица Ленина 77 А
Военный Комиссариат Мечетлинского Района Республики Башкортостан; Республика Башкортостан, Село Большеустьикинское Улица Первомайская 17
Военный Комиссариат Архангельского Района Республики Башкортостан; Республика Башкортостан, Село Архангельское Переулок Крупской 8
Военный Комиссариат Демского Района Г. Уфа И Уфимского Района Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Левитана 45
Военный Комиссариат Кушнаренковского Района Республики Башкортостан; Республика Башкортостан, Село Кушнаренково Улица Красноармейская 30
Военный Комиссариат Дуванского Района Республики Башкортостан; Республика Башкортостан, Село Месягутово Улица Коммунистическая 16
Военный Комиссариат Благоварского Района Республики Башкортостан; Республика Башкортостан, Село Языково
Военный Комиссариат Города Благовещенск И Благовещенского Района Республики Башкортостан; Республика Башкортостан, Город Благовещенск, Улица Братьев першиных 3
Военный Комиссариат Илишевского Района Республики Башкортостан; Республика Башкортостан, Село Верхнеяркеево Улица Куйбышева 104 3
Военный Комиссариат Кировского, Ленинского И Демского Районов Города Уфа Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Мубарякова 6 2
Военный Комиссариат Города Агидель И Краснокамского Района Республики Башкортостан; Республика Башкортостан, Село Николо-березовка
Военный Комиссариат Бижбулякского Района Республики Башкортостан; Республика Башкортостан, Село Бижбуляк Улица Центральная 45
Военный Комиссариат Нуримановского Района Республики Башкортостан; Республика Башкортостан, Село Красная горка Улица Альмухаметова 1
Военный Комиссариат Бураевского Района Республики Башкортостан; Республика Башкортостан, Село Бураево Улица Октябрьская 36
Военный Комиссариат Аскинского Района Республики Башкортостан; Республика Башкортостан, Село Аскино 
Военный Комиссариат Советского Района Города Уфы Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Кирова 101 4
Военный Комиссариат Города Межгорье Республики Башкортостан; Республика Белорецкий, Город Межгорье, Улица Дудорова 23
Военный Комиссариат Города Учалы И Учалинского Района Республики Башкортостан; Республика Башкортостан, Город Учалы, Улица Первостроителей 18
Обьединенный Военный Комиссариат Города Янаул Республики Башкортостан; Республика Башкортостан, Город Янаул, Улица Победы 95
Военный Комиссариат Города Дюртюли И Дюртюлинского Района Республики Башкортостан; Республика Башкортостан, Город Дюртюли, Улица Василия горшкова 6
Военный Комиссариат Кировского, Советского И Ленинского Районов Города Уфа Республики Башкортостан; Республика Башкортостан, Город Уфа,
Военный Комиссариат Города Белебей, Белебеевского И Ермекеевского Районов Республики Башкортостан; Республика Башкортостан, Город Белебей, Улица Советская 44
Военный Комиссариат Татышлинского И Балтачевского Районов Республики Башкортостан; Республика Башкортостан, Село Татышлы верхние Улица Ленина 103
Военный Комиссариат Аургазинского И Гафурийского Районов Республики Башкортостан; Республика Башкортостан, Село Толбазы Улица Ленина 88
Военный Комиссариат Глазуновского Района; Область Глазуновский, Поселок городского типа Глазуновка Улица Советская 19
Военный Комиссариат Города Березовский И Кемеровского Района Кемеровской Области; Область Кемеровская, Город Березовский, Улица Мира 38
Военный Комиссариат Татышлинского Района Республики Башкортостан; Республика Башкортостан, Село Татышлы верхние Улица Ленина 103
Военный Комиссариат Города Салават Республики Башкортостан; Республика Башкортостан, Город Салават, Улица Уфимская 25
Военный Комиссариат Города Сибай Республики Башкортостан; Республика Башкортостан, Город Сибай,
Военный Комиссариат Чекмагушевского Района Республики Башкортостан; Республика Башкортостан, Село Чекмагуш Улица Ленина 51
Военный Комиссариат Калининского Района Города Уфы Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Янаби 51 1
Военный Комиссариат Кировского Района Города Уфы Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Мубарякова 6 2
Военный Комиссариат Города Бирск И Бирского Района Республики Башкортостан; Республика Башкортостан, Город Бирск, Улица Ленина 39
Военный Комиссариат Кугарчинского И Зианчуринского Районов Республики Башкортостан; Республика Башкортостан, Село Мраково Улица З.биишевой 57
Военный Комиссариат Буздякского Района Республики Башкортостан; Республика Башкортостан, Село Буздяк
Военный Комиссариат Бакалинского Района Республики Башкортостан; Республика Башкортостан, Село Бакалы Улица Коммунистическая 72
Военный Комиссариат Шаранского Района Республики Башкортостан; Республика Башкортостан, Село Шаран Улица Красная 23
Государственное Учреждение Военный Комиссариат Миякинского Района Республики Башкортостан; Республика Башкортостан, Село Киргиз-мияки Улица Губайдуллина 106
Военный Комиссариат Миякинского И Стерлибашевского Районов Республики Башкортостан; Республика Башкортостан, Село Киргиз-мияки Улица Губайдуллина 106
Военный Комиссариат Чекмагушевского И Илишевского Районов Республики Башкортостан; Республика Башкортостан, Село Чекмагуш Улица Ленина 51
Военный Комиссариат Города Мелеуз, Мелеузовского И Федоровского Районов Республики Башкортостан; Республика Башкортостан, Город Мелеуз, Улица Ленина 148
Военный Комиссариат Иглинского И Нуримановского Районов Республики Башкортостан; Республика Башкортостан, Село Иглино Улица Заводская 8
Военный Комиссариат Кигинского И Белокатайского Районов Республики Башкортостан; Республика Башкортостан, Село Верхние киги
Военный Комиссариат Октябрьского Района Города Уфы Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Менделеева 221
Военный Комиссариат Города Стерлитамак Республики Башкортостан; Республика Башкортостан, Город Стерлитамак, Улица Худайбердина 118
Военный Комиссариат Кировского, Советского, Ленинского, Демского Районов Города Уфа И Уфимского Района Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Мубарякова 6 2
Военный Комиссариат Города Давлеканово И Давлекановского Района Республики Башкортостан; Республика Башкортостан, Город Давлеканово, Улица Интернациональная 26
Военный Комиссариат Города Стерлитамак И Стерлитамакского Района Республики Башкортостан; Республика Башкортостан, Город Стерлитамак, Улица Худайбердина 118
Военный Комиссариат Кармаскалинского И Архангельского Районов Республики Башкортостан; Республика Башкортостан, Село Кармаскалы Улица Султан-галеева 20
Военный Комиссариат Аургазинского Района Республики Башкортостан; Республика Башкортостан, Село Толбазы Улица Ленина 88
Объединенный Военный Комиссариат Города Мелеуз Республики Башкортостан; Республика Башкортостан, Город Мелеуз,
Военный Комиссариат Гафурийского Района Республики Башкортостан; Республика Башкортостан, Поселок городского типа Красноусольский Улица Маркса 14
Военный Комиссариат Мишкинского Района Республики Башкортостан; Республика Башкортостан, Село Мишкино Улица Тракторная 16
Военный Комиссариат Города Октябрьский Республики Башкортостан; Республика Башкортостан, Город Октябрьский, Проспект Ленина 49
Объединенный Военный Комиссариат Города Белорецк Республики Башкортостан; Республика Башкортостан, Город Белорецк, Улица Хмельницкого 3 А
Военный Комиссариат Города Баймак, Баймакского И Зилаирского Районов Республики Башкортостан; Республика Башкортостан, Город Баймак, Улица Юбилейная 32
Военный Комиссариат Хайбуллинского Района Республики Башкортостан; Республика Башкортостан, Село Акъяр Улица Мусы гареева 44
Военный Комиссариат Орджоникидзевского, Калининского И Октябрьского Районов Города Уфа Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Максима горького 70
Военный Комиссариат Федоровского Района Республики Башкортостан; Республика Башкортостан, Село Федоровка Улица Коммунистическая 62
Военный Комиссариат Стерлитамакского Района Республики Башкортостан; Республика Стерлитамакский, Село Наумовка Улица Ленина 49
Военный Комиссариат Иглинского Района; Республика Башкортостан, Поселок городского типа Иглино Улица Заводская 8
Военный Комиссариат Кигинского Района Рб; Республика Башкортостан, Село Верхние киги Улица Ибрагимова 16
Военный Комиссариат Города Туймазы И Туймазинского Района Республики Башкортостан; Республика Башкортостан, Город Туймазы, Улица Аксакова 13
Военный Комиссариат Кармаскалинского Района Республики Башкортостан; Республика Башкортостан, Село Кармаскалы Улица Султан-галиева 20
Военный Комиссариат Салаватского Района Рб; Республика Башкортостан, Село Малояз Улица 60 лет ссср 3
Военный Комиссариат Города Ишимбай И Ишимбайского Района Республики Башкортостан; Республика Башкортостан, Город Ишимбай,
Военный Комиссариат Ермекеевского Района Республики Башкортостан; Республика Башкортостан, Село Ермекеево Улица Школьная 12
Государственное Учреждение Военный Комиссариат Белокатайского Района Рб; Республика Башкортостан, Село Новобелокатай Улица Школьная 16
Военный Комиссариат Октябрьского И Советского Районов Г.уфа Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Менделеева 221
Военный Комиссариат Ленинского Района Города Уфы Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Зенцова 85 1
Военный Комиссариат Орджоникидзевского Района Города Уфы Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Горького 70
Военный Комиссариат Уфимского Района Республики Башкортостан; Республика Башкортостан, Город Уфа, Улица Центральная 53
Военный Комиссариат Дуванского И Салаватского Районов Республики Башкортостан; Республика Башкортостан, Село Месягутово Улица Коммунистическая 16
Военный Комиссариат Буздякского И Благоварского Районов Республики Башкортостан; Республика Башкортостан, Село Буздяк Улица Интернациональная 6
Военный Комиссариат Города Сибай И Хайбуллинского Района Республики Башкортостан; Республика Башкортостан, Город Сибай, Улица Пионерская 7
Военный Комиссариат Города Янаул,янаульского И Калтасинского Районов Республики Башкортостан; Республика Башкортостан, Город Янаул, Улица Победы 95
Военный Комиссариат Альшеевского Района Республики Башкортостан; Республика Башкортостан, Село Раевский Улица Космонавтов 36 В
Военный Комиссариат Города Кумертау И Куюргазинского Района Республики Башкортостан; Республика Башкортостан, Город Кумертау, Улица 40 лет победы 15 А
Военный Комиссариат Абзелиловского Района Республики Башкортостан; Республика Башкортостан, Село Аскарово Улица Советская 27
Военный Комиссариат Иссинского Района; Область Пензенская, Рабочий поселок Исса Улица Черокманова 6
Военный Комиссариат Пономаревского Района; Область Оренбургская, Село Пономаревка Улица Советская 58
Военный Комиссариат Крутинского Района; Область Омская, Рабочий поселок Крутинка Улица Ленина 68
Военный Комиссариат Даниловского Района Ярославской Области; Область Ярославская, Город Данилов,
Военный Комиссариат Венгеровского Района Новосибирской Области; Область Венгеровский, Село Венгерово Улица Герцена 28
Военный Комиссариат Новосергиевского Района Оренбургской Области; Область Оренбургская, Поселок Новосергиевка Улица Советская 9
Военный Комиссариат Дзержинского Района Г. Перми; Край Пермский, Город Пермь, Улица Академика вавилова 4
Военный Комиссариат Увельского Района Челябинской Области; Область Увельский, Поселок Увельский Улица Пристанционная 22
Военный Комиссариат Тереньгульского Района; Область Тереньгульский, Рабочий поселок Тереньга Улица Евстифеева 55
Военный Комиссариат Красносельского Района Санкт-петербурга; Санкт-петербург, Улица Летчика пилютова 26 1
Объединенный Военный Комиссариат Г.чебаркуля; Область Челябинская, Город Чебаркуль,
Военный Комиссариат Центрального Района Г.читы; Край Забайкальский, Город Чита, Улица Николая островского 27
Военный Комиссариат Болотнинского Района Новосибирской Области; Область Новосибирская, Город Болотное, Улица Советская 2а
Военный Комиссариат Переволоцкого Района Оренбургской Области; Область Оренбургская, Рабочий поселок Переволоцкий Улица Молодежная 13
Военный Комиссариат Купинского Района Новосибирской Области; Область Новосибирская, Город Купино, Улица Советов 80
Военный Комиссариат Нязепетровского Района; Область Нязепетровский, Город Нязепетровск, Улица Карла маркса 2
Военный Комиссариат Урицкого Района; Область Урицкий, Поселок городского типа Нарышкино
Оъединённый Военный Комиссариат Г. Борзи; Край Забайкальский, Город Борзя, Улица Промышленная 3
Военный Комиссариат Города Троицк Челябинской Области; Область Челябинская, Город Троицк, Улица Красноармейская 9
Военный Комиссариат Красногвардейского Района Города Санкт-петербурга; Санкт-петербург, Улица Республиканская 16
Военный Комиссариат Калининского Района Г.новосибирска; Область Новосибирская, Город Новосибирск, Улица Тайгинская 1
Военный Комиссариат Города Искитим Новосибирской Области; Область Новосибирская, Город Искитим, Микрорайон Индустриальный 32
Военный Комиссариат Г.тутаева Ярославской Области; Область Ярославская, Город Тутаев, Улица Луначарского 129
Военный Комиссариат Г.кыштыма; Область Челябинская, Город Кыштым,
Военный Комиссариат Дзержинского Района Города Оренбурга; Область Оренбургская, Город Оренбург, Улица Конституции 8
Военный Комиссариат Города Аша И Ашинского Района Челябинской Области; Область Челябинская, Город Аша, Улица Советская 12
Военный Комиссариат Карасукского Района Новосибирской Области; Область Новосибирская, Город Карасук, Улица Октябрьская 63
Военный Комиссариат Саргатского Района Омской Области; Область Омская, Рабочий поселок Саргатское
Военный Комиссариат Промышленного Района Города Оренбурга; Область Оренбургская, Город Оренбург, Переулок Дорожный 20
Военный Комиссариат Красноперекопского Района Г. Ярославля; Область Ярославская, Город Ярославль, Улица Большая федоровская 38а
Военный Комиссариат Москаленского Района Омской Области; Область Омская, Рабочий поселок Москаленки Улица Почтовая 74
Военный Комиссариат Города Карталы, Карталинского И Варненского Районов Челябинской Области; Область Челябинская, Город Карталы,
Военный Комисариат Ленинского Района Г. Пензы; Область Пензенская, Город Пенза, Городок Военный 2-й
Военный Комиссариат Никольского Района Пензенской Области; Область Пензенская, Город Никольск, Улица Парковая 24а
Военный Комиссариат Лопатинского Района; Область Пензенская, Село Лопатино Улица Пионерская 35
Военный Комиссариат Города Бузулук И Бузулукского Района Оренбургской Области; Область Оренбургская, Город Бузулук,
Военный Комиссариат Октябрьского Административного Округа Города Омска; Область Омская, Город Омск, Улица Богдана хмельницкого 176
Военный Комиссариат Азовского Района Омской Области; Область Омская, Село Азово
Военный Комиссариат Ленинского Района Г. Ярославля; Область Ярославская, Город Ярославль,
Военный Комиссариат Города Тюкалинск И Тюкалинского Района Омской Области; Область Омская, Город Тюкалинск, Улица Павла усольцева 9
Военный Комиссариат Беляевского Района Оренбургской Области; Область Оренбургская, Село Беляевка Улица Советская 67а
Военный Комиссариат Нагайбакского Района Челябинской Области; Область Нагайбакский, Село Фершампенуаз Улица Карла маркса 61
Военный Комиссариат Заволжского Района Города Ярославль И Ярославского Района Ярославской Области; Область Ярославская, Город Ярославль, Набережная Тверицкая 14-а
Военный Комиссариат Сузунского Района Новосибирской Области; Область Новосибирская, Рабочий поселок Сузун Улица Горького 80-а
Учреждение Военный Комиссариат Любимского Района Ярославской Области; Область Любимский, Город Любим,
Военный Комиссариат Некоузского Района; Область Ярославская, Село Новый некоуз Улица Ленина 39
Военный Комиссариат Варненского Райоона; Область Варненский, Село Варна Улица Спартака 14 А
Военный Комиссариат Сосновоборского Района; Область Пензенская, Поселок городского типа Сосновоборск Улица Кададинская 25 А
Военный Комиссариат Тюльганского Района Оренбургской Области; Область Оренбургская, Поселок городского типа Тюльган
Военный Комиссариат Г. Копейска Челябинской Области; Область Челябинская, Город Копейск, Улица Темника 50
Военный Комиссариат Пошехонского Района Ярославской Области; Область Ярославская, Город Пошехонье, Улица Преображенского 9
Объединенный Военный Комиссариат Тушинского Района Северо-западного Административного Округа Г. Москвы; Москва, Улица Пехотная 3 2
Военный Комиссариат Кировского Района; Область Новосибирская, Город Новосибирск, Улица Петухова 30
Военный Комиссариат Новоорского Района; Область Оренбургская, Рабочий поселок Новоорск Улица Советская 73
Военный Комиссариат Павлоградского Района Омской Области; Область Омская, Рабочий поселок Павлоградка Улица Ленина 45
Военный Комиссариат Ильинского Района Пермского Края; Край Пермский, Рабочий поселок Ильинский Улица Сюзева 10
Военный Комиссариат Кировского, Красноперекопского И Фрунзенского Районов Города Ярославль Ярославской Области; Область Ярославская, Город Ярославль, Улица Ушинского 16
Военный Комиссариат Г.верхнего Уфалея; Область Челябинская, Город Верхний уфалей, Улица Каслинская 2
Государственное Учреждение Военный Комиссариат Первомайского Района Г.пензы; Область Пензенская, Город Пенза, Улица Куйбышева 37
Военный Комиссариат Агаповского И Кизильского Районов Челябинской Области; Область Челябинская, Село Агаповка Улица Дорожная 53 А
Военный Комиссариат Сосновского Района Челябинской Области; Область Сосновский, Село Долгодеревенское
Военный Комиссариат Таврического Района Омской Области; Область Омская, Рабочий поселок Таврическое Улица Пионерская 5
Военный Комиссариат Ленинского Района Города Орска; Область Оренбургская, Город Орск, Улица Радостева 4
Военный Комиссариат Кыштовского Района Новосибирской Области; Область Новосибирская, Село Кыштовка Улица Ленина
Военный Комиссариат Земетчинского Района; Область Пензенская, Рабочий поселок Земетчино
