Название,Полное название,Сокращенное название,Адрес,Сайт,Почта,Телефон
Брянский государственный университет им. И.Г. Петровского,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный университет имени академика И.Г. Петровского»,БГУ,"241036, Брянская область, г. Брянск, ул. Бежицкая, 14",http://www.brgu.ru,bryanskgu@mail.ru,+74832666538
Брянский государственный инженерно-технологический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный инженерно-технологический университет»,БГИТУ,"241037, Брянская область, г. Брянск, проспект Станке Димитрова,3",http://www.bgitu.ru,mail@bgitu.ru,+74832746008
Брянский государственный технический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный технический университет»,БГТУ,"241035, Брянская область, г. Брянск, бул. 50-летия Октября, д. 7",http://www.tu-bryansk.ru,rector@tu-bryansk.ru,+74832560905
Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Брянск,Брянский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС в г. Брянск,"241050, Брянская область, г. Брянск, ул.Горького, д.18",http://br.ranepa.ru,info@br.ranepa.ru,+74832722819
Российский экономический университет им. Г.В. Плеханова — филиал в г. Брянск,Брянский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,РЭУ им. Г.В.Плеханова в г. Брянск,"241050, Брянская область, г. Брянск, ул. Бежицкая, д.8",http://reu32.ru,bryansk@reu.ru,+74832666024
Брянский институт управления и бизнеса,Частное образовательное учреждение высшего образования «Брянский институт управления и бизнеса»,БИУБ,"241050, Брянская область, г. Брянск, ул. 2-я Почепская, д. 42",http://biub.ru,boinub@online.debryansk.ru,+74832411522
Брянский государственный аграрный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный аграрный университет»,БГАУ,"243365, Брянская область, с. Кокино, ул. Советская, д. 2а",http://www.bgsha.com,cit@bgsha.com,+74834124721
Брянский государственный университет им. И.Г. Петровского — филиал в г. Новозыбков,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Брянский государственный университет имени академика И.Г. Петровского» в г. Новозыбкове,БГУ в г. Новозыбков,"243040, Брянская область, г. Новозыбков, ул. Советская, д. 9",http://www.brgu.ru/filial_bgu_v_novozybkov/,filbgu@yanex.ru,+74834334485
Московский государственный университет технологий и управления им. К.Г. Разумовского — филиал в г. Унеча,Брянский областной казачий институт технологий и управления (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»,МГУТУ в г. Унеча,"243302, Брянская область, г. Унеча, ул. Комсомольская д. 3.а",http://ufmgutu.ru/index.php/ru/,unecha@mgutm.ru,+74835128234
Бурятский государственный университет им Д. Банзарова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Бурятский государственный университет имени Доржи Банзарова»,БГУ,"670000, Бурятия Республика, г. Улан-Удэ, ул. Смолина, д. 24а",http://www.bsu.ru,univer@bsu.ru,+73012297170
Восточно-Сибирский государственный институт культуры,Федеральное государственное бюджетное образовательное учреждение высшего образования «Восточно-Сибирский государственный институт культуры»,ВСГИК,"670031, Бурятия Республика, г. Улан-Удэ, ул. Терешковой, д. 1",http://www.vsgaki.ru,rector@vsgaki.ru,+73012233322
Восточно-Сибирский государственный университет технологий и управления,Федеральное государственное бюджетное образовательное учреждение высшего образования «Восточно-Сибирский государственный университет технологий и управления»,ВСГТУ,"670013, Бурятия Республика, г. Улан-Удэ, ул. Ключевская, д. 40В, стр. 1",http://www.esstu.ru,office@esstu.ru,+73012431415
Бурятская государственная сельскохозяйственная академия им. В.Р. Филиппова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Бурятская государственная сельскохозяйственная академия имени В.Р. Филиппова»,БГСА,"670034, Бурятия Республика, г. Улан-Удэ, ул. Пушкина, 8",http://www.bgsha.ru,bgsha@bgsha.ru,+73012442611
Сибирский государственный университет телекоммуникаций и информатики — филиал в г. Улан-Удэ,Бурятский институт инфокоммуникаций (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Сибирский государственный университет телекоммуникаций и информатики» в г. Улан-Удэ,СибГУТИ в г. Улан-Удэ,"670031, Бурятия Республика, г. Улан-Удэ, ул. Трубачеева, д. 152",http://biik.ru,bfsibguti@mail.ru,+73012240024
Байкальский экономико-правовой институт,Частное образовательное учреждение высшего образования «Байкальский экономико-правовой институт»,БЭПИ,"670047, Бурятия Республика, г. Улан-Удэ, ул. Сахьяновой, дом 9",http://www.bepi-edu.ru,bepi-edu@yandex.ru,+73012433455
Владимирский государственный университет им. А.Г. и Н.Г. Столетовых,Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»,ВГУ,"600000, Владимирская область, г. Владимир, ул. Горького, д. 87",http://www.vlsu.ru,oid@vlsu.ru,+74922532575
Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Владимир,Владимирский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС в г. Владимир,"600017, Владимирская область, г. Владимир, ул. Горького, д. 59а",http://vlad.ranepa.ru,post@vlad.ranepa.ru,+74922532857
Финансовый университет при Правительстве РФ — филиал в г. Владимир,Владимирский филиал федерального государственного образовательного бюджетного учреждения высшего образования «Финансовый университет при Правительстве Российской Федерации»,ФинУниверситет в г. Владимир,"600037, Владимирская область, г. Владимир, ул. Тихонравова, д. 1",http://www.fa.ru/fil/vladimir/about/Pages/default.aspx,vladimir@fa.ru,+74922540829
Владимирский юридический институт ФСИН РФ,Федеральное казенное образовательное учреждение высшего образования «Владимирский юридический институт Федеральной службы исполнения наказаний»,ВЮИ ФСИН России,"600020, Владимирская область, г. Владимир, ул. Большая Нижегородская, д. 67Е",http://www.vui.fsin.su,vui@vui.vladinfo.ru,+74922324417
Российский университет кооперации — филиал в г. Владимир,Владимирский филиал автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,РУК в г. Владимир,"600000, Владимирская область, г. Владимир, ул. Воровского, д. 16",http://vladimir.ruc.su,vladimir@rucoop.ru,+74922322656
Ковровская государственная технологическая академия им. В.А. Дегтярева,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ковровская государственная технологическая академия имени В.А. Дегтярева»,КГТА,"601910, Владимирская область, г. Ковров, ул. Маяковского, дом  19",http://www.dksta.ru,ksta@dksta.ru,+74923232160
Высшая школа народных искусств — филиал в пгт. Мстера,Мстёрский институт лаковой миниатюрной живописи имени Ф.А. Модорова - филиал федерального государственного бюджетного образовательного учреждения высшего образования  «Высшая школа народных искусств (академия)»,ВШНИ в пгт. Мстера,"601408, Владимирская область, пгт. Мстера, ул. Советская, д. 84",http://mstera-vshni.ucoz.ru,root@vzxudmstera.viaz.elcom.ru,+74923350439
Владимирский государственный университет им. А.Г. и Н.Г. Столетовых — филиал в г. Муром,Муромский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»,ВГУ в г. Муром,"602264, Владимирская область, г. Муром, ул. Орловская, д. 23",http://www.mivlgu.ru,oid@mivlgu.ru,+74923477101
Московский педагогический государственный университет — филиал в г. Покров,Покровский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Московский педагогический государственный университет»,МПГУ в г. Покров,"601120, Владимирская область, г. Покров, Спортивный проезд, д. 2",http://мпгу.рф/ob-mpgu/struktura/filialyi/pokrovskiy-filial/,f_pokrov@mpgu.su,+74924361435
Волгоградский гуманитарный институт,Автономная некоммерческая организация высшего образования Волгоградский гуманитарный институт,ВгГИ,"400119, Волгоградская область, г. Волгоград, ул. 25-летия Октября, д. 1, стр.2",http://vggi.ru,znanie@vggi.ru,+79627600952
Волгоградский государственный аграрный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский  государственный аграрный университет»,ВолГАУ,"400002, Волгоградская область, г. Волгоград, пр. Университетский, д. 26",http://volgau.com,volgau@volgau.com,+78442411784
Волгоградский государственный социально-педагогический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный социально-педагогический университет»,ВГСПУ,"400066, Волгоградская область, г. Волгоград, пр. им. В.И. Ленина, д. 27",http://vspu.ru,vspu@vspu.ru,+78442241360
Волгоградский государственный технический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет»,ВолгГТУ,"400005, Волгоградская область, г. Волгоград, проспект им. В.И. Ленина, д. 28",http://vstu.ru,rector@vstu.ru,+78442230076
Волгоградский государственный университет,Федеральное государственное автономное образовательное учреждение высшего образования «Волгоградский государственный университет»,ВолГУ,"400062, Волгоградская область, г. Волгоград, проспект Университетский, д. 100",http://volsu.ru,ob.otdel@volsu.ru,+78442460279
Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Волгоград,Волгоградский институт управления - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС в г. Волгоград,"400131, Волгоградская область, г. Волгоград, ул. Гагарина, д. 8",http://vlgr.ranepa.ru,referent@vlgr.ranepa.ru,+78442241736
Волгоградский государственный медицинский университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный медицинский университет» Министерства здравоохранения Российской Федерации,ВолгГМУ,"400131, Волгоградская область, г. Волгоград, площадь Павших Борцов, д. 1",http://volgmed.ru/ru,post@volgmed.ru,+78442385005
Волгоградская консерватория им. П.А. Серебрякова,Муниципальное бюджетное образовательное учреждение высшего образования «Волгоградская консерватория (институт)  имени П.А. Серебрякова»,ВК им. Серебрякова,"400066, Волгоградская область, г. Волгоград, ул. Мира, д. 5а",http://serebryakovka.ru,vmii_priem@mail.ru,+78442334385
Волгоградский государственный институт искусств и культуры,Государственное образовательное бюджетное учреждение культуры высшего образования «Волгоградский государственный институт искусств и культуры»,ВГИИК,"400001, Волгоградская область, г. Волгоград, ул. Циолковского, д. 4",http://xn--b1acpak.xn--p1ai,vgiik_pr@volganet.ru,+79618888252
Российский экономический университет им. Г.В. Плеханова — филиал в г. Волгоград,Волгоградский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,РЭУ им. Г.В.Плеханова в г. Волгоград,"400131, Волгоградская область, г. Волгоград, ул. Волгодонская, д.11",http://volgograd.rea.ru,Volgograd@rea.ru,+78442331757
Волгоградская государственная академия физической культуры,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградская государственная академия физической культуры»,ВГАФК,"400005, Волгоградская область, г. Волгоград, проспект им. В.И. Ленина, д. 78",http://vgafk.ru,academy@vgafk.ru,+78442230195
Волгоградская академия МВД РФ,Федеральное государственное казенное образовательное учреждение высшего образования «Волгоградская академия Министерства внутренних дел Российской Федерации»,ВА МВД России,"400089, Волгоградская область, г. Волгоград, ул. Историческая, д. 130",http://xn--80ad.xn--b1aew.xn--p1ai,volakdm@va-mvd.ru,+78442314175
Российский университет кооперации — филиал в г. Волгоград,Волгоградский кооперативный институт (филиал) автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации «Российский университет кооперации»,РУК в г. Волгоград,"400002, Волгоградская область, г. Волгоград, ул. Новосибирская, д. 76",http://volgograd.ruc.su,volgograd@ruc.su,+78442417693
Московский финансово-юридический университет — филиал в г. Волгоград,Волгоградский филиал Аккредитованного образовательного частного учреждения высшего образования «Московский финансово-юридический университет МФЮА»,МФЮА в г. Волгоград,"400031, Волгоградская область, г. Волгоград, ул. Бахтурова, д. 25Г",http://vg.mfua.ru,Volgograd@mfua.ru,+78442497133
Волгоградский институт бизнеса,Частное образовательное учреждение высшего образования «Волгоградский институт бизнеса»,ВИБ,"400010, Волгоградская область, г. Волгоград, ул. Качинцев, д. 63",http://volbi.ru,vib@volbi.ru,+78442529210
Национальный исследовательский университет «МЭИ» — филиал в г. Волжский,Филиал федерального государственного бюджетного образовательного учреждения высшего образования «Национальный исследовательский университет «МЭИ» в г. Волжском,МЭИ в г. Волжский,"400410, Волгоградская область, г. Волжский, проспект Ленина, 69",http://www.vfmei.ru,vfmei@vfmei.ru,+78443210160
Волгоградский государственный университет — филиал в г. Волжский,Волжский филиал федерального государственного автономного образовательного учреждения высшего образования «Волгоградский государственный университет»,ВолГУ в г. Волжский,"404133, Волгоградская область, г. Волжский, ул. 40 лет Победы, д. 11",http://vgi2.volsu.ru/,umo@vgi.volsu.ru,+78443515300
Волгоградский государственный технический университет — филиал в г. Волжский,Волжский политехнический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Волгоградский государственный технический университет»,ВолгГТУ в г. Волжский,"404121, Волгоградская область, г. Волжский, ул. Энгельса,  42 а",http://volpi.ru,vpi@volpi.ru,+78443381049
Волжский институт экономики,"Муниципальное бюджетное образовательное учреждение высшего образования «Волжский институт экономики, педагогики и права»",ВИЭПП,"404111, Волгоградская область, г. Волжский, ул. Советская, 6",http://www.viepp.ru/,rector@viepp.ru,+78443411202
Волгоградский государственный технический университет — филиал в г. Камышин,Камышинский технологический институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Волгоградский государственный технический университет»,ВолгГТУ в г. Камышин,"403874, Волгоградская область, г. Камышин, ул. Ленина, д. 6а",http://www.kti.ru/,director@kti.ru,+78445793111
Вологодская государственная молочнохозяйственная академия им. Н.В. Верещагина,Федеральное государственное бюджетное образовательное учреждение высшего образования «Вологодская государственная молочнохозяйственная академия имени Н.В. Верещагина»,ВГМА,"160555, Вологодская область, г. Вологда, с. Молочное, ул. Шмидта, д. 2",http://www.molochnoe.ru,academy@molochnoe.ru,+78172525130
Вологодский государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Вологодский государственный университет»,ВоГУ,"160000, Вологодская область, г. Вологда, ул. Ленина, д. 15",http://vogu35.ru/,kanz@vstu.edu.ru,+78172727645
Московский государственный юридический университет им. О.Е. Кутафина — филиал в г. Вологда,Северо-Западный институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)»,МГЮА в г. Вологда,"160001, Вологодская область, г. Вологда, ул. Мира, д. 32",http://www.vfmgua.ru,vologda@msal.ru,+78172725192
Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Вологда,Вологодский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская  академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС в г. Вологда,"160017, Вологодская область, г. Вологда, ул. Ленинградская, д. 71",http://volog.ranepa.ru,ags@volog.ranepa.ru,+78172529287
Вологодский институт права и экономики ФСИН РФ,Федеральное казенное образовательное учреждение высшего образования «Вологодский институт права и экономики Федеральной службы исполнения наказаний»,ВИПЭ ФСИН России,"160002, Вологодская область, г. Вологда, ул. Щетинина, д. 2",http://vipe.fsin.su,vipe@35.fsin.su,+78172530173
Череповецкий государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Череповецкий государственный университет»,ЧГУ,"162600, Вологодская область, г. Череповец, проспект Луначарского, д. 5",http://www.chsu.ru,rector@chsu.ru,+78202556597
Череповецкое высшее военное инженерное училище радиоэлектроники,Федеральное государственное казенное военное образовательное учреждение высшего образования «Череповецкое высшее военное инженерное ордена Жукова училище  радиоэлектроники» Министерства обороны Российской Федерации,ЧВИИРЭ Минобороны РФ,"162622, Вологодская область, г. Череповец, Советский просп., д. 126",http://chvviure.mil.ru,cvviur2@mail.ru,+78202556841
Воронежский институт высоких технологий,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,ВИВТ,"394043, Воронежская область, г. Воронеж, ул. Ленина, д. 73а",http://vivt.ru,info@vivt.ru,+74732020420
Московский гуманитарно-экономический университет — филиал в г. Воронеж,Воронежский институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,МГЭУ в г. Воронеж,"394026, Воронежская область, г. Воронеж, Московский просп., д. 26",http://vfmgei.ru,klen@vfmgei.ru,+74732210725
Воронежский государственный педагогический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный педагогический университет»,ВГПУ,"614026, Воронежская область, г. Воронеж, ул. Ленина 86",http://vspu.ac.ru,rectorat@vspu.ac.ru,+74732545643
Воронежский государственный технический университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный технический университет»,ВГТУ,"394026, Воронежская область, г. Воронеж, ул. 20-летия Октября, 84",http://cchgeu.ru,rectorat@vgasu.vrn.ru,+74732072220
Воронежский государственный лесотехнический университет им. Г.Ф. Морозова,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный лесотехнический университет имени Г.Ф. Морозова»,ВГЛТУ,"394087, Воронежская область, г. Воронеж, ул. Тимирязева, д. 8",http://vgltu.ru,vglta@vglta.vrn.ru,+74732538411
Воронежский государственный университет,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный университет»,ВГУ,"394018, Воронежская область, г. Воронеж, Университетская площадь, д. 1",http://vsu.ru,office@main.vsu.ru,+74732207521
Воронежский экономико-правовой институт,Автономная некоммерческая образовательная организация высшего образования «Воронежский экономико-правовой институт»,ВЭПИ,"394042, Воронежская область, г. Воронеж, Ленинский пр-т, д. 119 А",http://vepi.ru,mail@vilec.ru,+78007007489
Воронежский государственный медицинский университет им. Н.Н. Бурденко,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный медицинский университет имени Н.Н. Бурденко» Министерства здравоохранения Российской Федерации,ВГМУ,"394036, Воронежская область, г. Воронеж, ул. Студенческая, д. 10",http://vrngmu.ru,sirostovceva@vrngmu.ru,+74732593805
Воронежский государственный университет инженерных технологий,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный университет инженерных технологий»,ВГУИТ,"394036, Воронежская область, г. Воронеж, пр. Революции, 19",http://vsuet.ru,post@vsuet.ru,+74732554267
Воронежский государственный институт искусств,Федеральное государственное бюджетное образовательное учреждение  высшего образования «Воронежский государственный институт искусств»,ВГИИ,"394053, Воронежская область, г. Воронеж, ул. Генерала Лизюкова, д. 42",http://voronezharts.ru,rector@vsaa.ru,+74732661672
Российская академия народного хозяйства и государственной службы при Президенте РФ — филиал в г. Воронеж,Воронежский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации»,РАНХиГС в г. Воронеж,"394015, Воронежская область, г. Воронеж, Московский просп., д.143",http://vrn.ranepa.ru,obotdel@vrn.ranepa.ru,+74732427765
Воронежский институт экономики и социального управления,Муниципальное образовательное автономное учреждение высшего образования «Воронежский институт экономики и социального управления»,ВИЭСУ,"394036, Воронежская область, г. Воронеж, ул. Помяловского, 27",http://viesm.ru,viesm@vmail.ru,+74732531623
Российский государственный университет правосудия — филиал в г. Воронеж,Центральный филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Российский государственный университет правосудия» (г. Воронеж),РГУП в г. Воронеж,"394006, Воронежская область, г. Воронеж, улица 20-летия Октября, 95",http://cb.rgup.ru,cfrap@mail.ru,+74732715415
Воронежский государственный институт физической культуры,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный институт физической культуры»,ВГИФК,"394036, Воронежская область, г. Воронеж, ул. Карла Маркса, д. 59",http://vgifk.ru,kanc@vgifk.ru,+74732521060
Российский экономический университет им. Г.В. Плеханова — филиал в г. Воронеж,Воронежский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,РЭУ им. Г.В.Плеханова в г. Воронеж,"394030, Воронежская область, г. Воронеж, ул. Карла Маркса, д.67 А",http://voronezh.rea.ru,voronezh@rea.ru,+74732519644
Воронежский государственный аграрный университет им. Петра I,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный аграрный университет имени императора Петра I»,ВГАУ,"394087, Воронежская область, г. Воронеж, ул. Мичурина, д. 1",http://vsau.ru,main@vsau.ru,+74732538651
Международный институт компьютерных технологий,Автономная некоммерческая образовательная организация высшего образования «Международный институт компьютерных технологий»,МИКТ,"394026, Воронежская область, г. Воронеж, ул. Солнечная, д. 29 б",http://iict.ru,mathy@mail.ru,+74732210069
Военный учебно-научный центр ВВС Военно-воздушная академия им. Н.Е. Жуковского и Ю.А. Гагарина,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военный учебно-научный центр Военно-воздушных сил «Военно-воздушная академия имени профессора Н.Е. Жуковского и Ю.А. Гагарина» (г. Воронеж) Министерства обороны Российской Федерации,ВУНЦ ВВС ВВА,"394064, Воронежская область, г. Воронеж, ул. Старых Большевиков, д.54а",http://xn----7sbajajhyox3duj.xn--p1ai,vaiu@mil.ru,+74732264752
Воронежский институт МВД РФ,Федеральное государственное казенное образовательное учреждение высшего образования «Воронежский институт Министерства внутренних дел Российской Федерации»,ВИ МВД России,"394065, Воронежская область, г. Воронеж, проспект Патриотов, д. 53",http://xn--b1am.xn--b1aew.xn--p1ai,vrnin@mvd.ru,+74732476707
Воронежский институт ФСИН РФ,Федеральное казенное образовательное учреждение высшего образования «Воронежский институт Федеральной службы исполнения наказаний»,ВИ ФСИН России,"394076, Воронежская область, г. Воронеж, ул. Иркутская, д. 1а",http://vi.fsin.gov.ru,vifsin@mail.ru,+74732224326
Ивановский институт ГПС МЧС РФ — филиал в г. Воронеж,"Воронежский институт - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Ивановская пожарно-спасательная академия Государственной противопожарной службы Министерства Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий»",ИИ ГПС МЧС РФ в г. Воронеж,"394052, Воронежская область, г. Воронеж, ул. Краснознаменная, д. 231",http://vf.vipkgps.ru,vigps@mail.ru,+74732778653
Государственный университет морского и речного флота им. С.О. Макарова — филиал в г. Воронеж,Воронежский филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»,ГУМРФ в г. Воронеж,"394033, Воронежская область, г. Воронеж, Ленинский проспект, д. 174л",http://vfgumrf.ru,vrngumrf@mail.ru,+74732279606
Институт менеджмента,"Автономная образовательная некоммерческая организация высшего образования «Институт менеджмента, маркетинга и финансов»",ИММиФ,"394036, Воронежская область, г. Воронеж, ул. Карла Маркса, д. 67",http://immf.ru,info@immf.ru,+74732532611
